s,,,,,,,,,
Year,GDP-US $ billion nominal,Population-US million,Total Spending-fed $ billion nominal,,Remaining Spending-xfer $ billion nominal,,Total Spending-state $ billion nominal,,Total Spending-local $ billion nominal
1966,787.7,193.348,134.53,a,-12.44,i,34.2,a,60.71,a
1967,832.4,195.79,157.46,a,-14.2,i,39.7,a,66.27,a
1968,909.8,198.263,178.13,a,-15.37,i,44.3,a,71.93,a
1969,984.4,200.766,183.64,a,-16.87,i,49.45,a,82.15,a
1970,1038.3,203.302,195.65,a,-19.13,i,56.16,a,91.89,a
1971,1126.8,205.515,210.17,a,-22.79,i,66.2,a,104.57,a
1972,1237.9,207.752,230.68,a,-26.65,i,72.48,a,116.34,a
1973,1382.3,210.013,245.71,a,-34.66,i,78.01,a,126.62,a
1974,1499.5,212.299,269.36,a,-36,i,86.19,a,139.5,a
1975,1637.7,214.609,332.33,a,-40.19,i,104.19,a,161.04,a
1976,1824.6,216.945,371.79,a,-47.02,i,124.11,a,179.98,a
1977,2030.1,219.307,409.22,a,-52.56,i,128.78,a,192.62,a
1978,2293.8,221.694,458.75,a,-58.91,i,136.55,a,208.77,a
1979,2562.2,224.107,504.03,a,-62.75,i,148.69,a,229.02,a
1980,2788.1,226.546,590.94,a,-69.07,i,173.31,a,259.02,a
1981,3126.8,228.67,678.24,a,-73.46,i,198.35,a,286.83,a
1982,3253.2,230.815,745.74,a,-69.89,i,211.55,a,309.42,a
1983,3534.6,232.979,808.36,a,-71.02,i,233.13,a,332.09,a
1984,3930.9,235.164,851.81,a,-76.88,i,243.16,a,355.78,a
1985,4217.5,237.369,946.34,a,-83.51,i,269.26,a,386.85,a
1986,4460.1,239.595,990.38,a,-88.1,i,292.25,a,423.19,a
1987,4736.4,241.842,1004.02,a,-87.42,i,314.27,a,458.59,a
1988,5100.4,244.11,1064.42,a,-87.14,i,333.34,a,491.16,a
1989,5482.1,246.399,1143.74,a,-87.29,i,360,i,528,i
1990,5800.5,248.71,1252.99,a,-89.79,i,397.29,a,575.37,a
1991,5992.1,251.802,1324.23,a,-95.06,i,442.3,a,617.87,a
1992,6342.3,254.933,1381.53,a,-79.98,a,499.1,a,647.75,a
1993,6667.4,258.103,1409.39,a,-87.74,a,529.17,a,680.93,a
1994,7085.2,261.312,1461.75,a,-94.81,a,550.28,a,710.37,a
1995,7414.7,264.561,1515.74,a,-101.86,a,596.33,a,751.44,a
1996,7838.5,267.85,1560.48,a,-103.77,a,607.59,a,786.12,a
